date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2016-09-16,433716722,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2016-10-01,476244153,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2016-10-16,508436907,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2016-11-01,540248567,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2016-11-16,562019791,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2016-12-01,581701477,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2016-12-16,588930295,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-01-01,592050880,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-01-16,593232706,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-02-01,593822054,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-02-16,594733767,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-03-01,595893532,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-03-16,599173394,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-04-01,607136697,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-04-16,17680550,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-05-01,41944660,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-05-16,80518063,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-06-01,112208931,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-06-16,151715839,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-07-01,199430685,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-07-16,247430421,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-08-01,298337675,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-08-16,343773899,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-09-01,382849503,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-09-16,428322613,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2017-10-01,468782591,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
