date,precip_mm,location,latitude,longitude,source,region
2015-02-26,1.32,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-27,0.4,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-28,0.05,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-01,0.18,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-02,1.71,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-03,0.83,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-04,1.95,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-05,3.19,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-06,1.13,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-07,7.17,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-08,6.69,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-09,11.75,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-10,10.09,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-11,12.89,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-12,3.6,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-13,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-14,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-15,8.23,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-16,5.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-17,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-18,0.85,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-19,2.95,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-20,1.33,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-21,2.2,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-22,4.56,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-23,2.44,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-24,0.53,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-25,1.33,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-26,1.21,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-27,0.32,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-28,1.4,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-29,14.46,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-30,7.92,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-31,4.93,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-01,8.76,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-02,16.49,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-03,2.72,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-04,0.57,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-05,4.18,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-06,4.3,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-07,1.46,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-08,0.23,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-09,2.45,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-10,0.52,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-11,4.85,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-12,3.81,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-13,0.91,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-14,0.17,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-15,0.04,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-16,0.13,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-17,0.07,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-18,1.19,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-19,3.15,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-20,0.87,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-21,1.95,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-22,4.56,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-23,6.26,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-24,2.6,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-25,8.36,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-26,12.22,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-27,41.85,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-28,7.01,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-29,3.37,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-04-30,1.54,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-01,1.24,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-02,5.71,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-03,6.34,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-04,1.98,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-05,0.67,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-06,1.08,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-07,13.32,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
